path,filename,label,sample_rate,duration_sec,rms_mean,clip_percent,dc_offset
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/139948-3-4-0.wav,139948-3-4-0.wav,dog_bark,44100,1.23,0.005458424333482981,0.0,6.341696280287579e-05
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/192236-3-0-6.wav,192236-3-0-6.wav,dog_bark,44100,4.0,0.021107260137796402,0.0,2.0070567643415416e-06
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/194754-3-0-1.wav,194754-3-0-1.wav,dog_bark,44100,4.0,0.06361403316259384,0.0,0.00010083901725010946
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/194753-3-3-0.wav,194753-3-3-0.wav,dog_bark,44100,0.75,0.07067246735095978,0.0,0.0004632081254385412
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/155320-3-0-0.wav,155320-3-0-0.wav,dog_bark,44100,1.1397732426303855,0.17487820982933044,0.005968486391851027,1.730142321321182e-05
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/36902-3-0-0.wav,36902-3-0-0.wav,dog_bark,44100,0.7873469387755102,0.12900374829769135,0.0,2.9684613309655106e-06
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/155488-3-2-0.wav,155488-3-2-0.wav,dog_bark,44100,4.0,0.016453169286251068,0.0,8.876046194927767e-06
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/126521-3-0-2.wav,126521-3-0-2.wav,dog_bark,44100,4.0,0.1430829018354416,0.0,0.002292597433552146
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/44110-3-1-0.wav,44110-3-1-0.wav,dog_bark,44100,0.55,0.024468567222356796,0.0,0.0004484618257265538
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/20571-3-1-0.wav,20571-3-1-0.wav,dog_bark,44100,4.0,0.0379144661128521,0.0,1.3693119171875878e-06
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/122199-3-1-1.wav,122199-3-1-1.wav,dog_bark,44100,4.0,0.027838071808218956,0.0,0.0002653009432833642
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/57553-3-0-0.wav,57553-3-0-0.wav,dog_bark,44100,1.715419501133787,0.0604778416454792,0.0,0.0010765111073851585
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/160575-3-7-0.wav,160575-3-7-0.wav,dog_bark,44100,1.32,0.0217142254114151,0.0,1.5060035366332158e-05
D:/DU-SEM2/Period 1/Data Collection/Lab 3 Audio Folder/archive/selected_4x20/dog_bark/61250-3-0-36.wav,61250-3-0-36.wav,dog_bark,44100,4.0,0.004992630332708359,0.0,0.001300415606237948
