TP_ID,TRAIL_ID,USER_ID,Y_COORDINA,X_COORDINA,TIME,DATE,SPEED,HEIGHT,SPEED(KM/H),Y_WGS84,X_WGS84,Distance_km,Time_Diff_s,Acceleration_mps2
1,1,Bullis14,60290156,15242666,17-17-33,14-06-11,210,-1,2.1,60.48359333333333,15.404443333333333,0.0,0.0,0.0
2,2,Bullis14,60290300,15243617,17-19-27,14-06-11,2580,-1,25.8,60.48383333333334,15.406028333333333,0.0908387662218986,114.0,0.0577485380116959
3,3,Bullis14,60291531,15241540,17-19-57,14-06-11,4520,-1,45.2,60.485885,15.402566666666667,0.2966578375598745,30.0,0.17962962962962964
4,4,Bullis14,60292101,15237949,17-20-27,14-06-11,4910,-1,49.1,60.486835,15.396581666666666,0.344444716575735,30.0,0.036111111111111094
5,5,Bullis14,60292614,15235061,17-20-57,14-06-11,4100,-1,41.0,60.48769,15.391768333333333,0.2802748033816611,30.0,-0.07500000000000001
6,6,Bullis14,60294630,15236412,17-21-27,14-06-11,5190,-1,51.9,60.49105,15.39402,0.3934444442277109,30.0,0.1009259259259259
7,7,Bullis14,60296297,15239433,17-21-57,14-06-11,4560,-1,45.6,60.49382833333333,15.399055,0.4141050945734069,30.0,-0.058333333333333307
8,8,Bullis14,60296808,15242010,17-22-27,14-06-11,2460,-1,24.6,60.49468,15.40335,0.25356281860059365,30.0,-0.19444444444444445
9,9,Bullis14,60296890,15241054,17-26-38,14-06-11,2080,-1,20.8,60.494816666666665,15.401756666666667,0.08857053609177908,251.0,-0.00420540061974325
10,10,Bullis14,60296595,15240041,17-27-08,14-06-11,3600,-1,36.0,60.494325,15.400068333333333,0.1074140816371481,30.0,0.14074074074074075
11,11,Bullis14,60295438,15237225,17-27-38,14-06-11,4270,-1,42.7,60.492396666666664,15.395375,0.3347295543683962,30.0,0.062037037037037064
12,12,Bullis14,60293951,15235725,17-28-08,14-06-11,1490,-1,14.9,60.489918333333335,15.392875,0.30772016168008703,30.0,-0.2574074074074074
13,13,Bullis14,60292245,15234922,17-28-39,14-06-11,4040,-1,40.4,60.487075,15.391536666666667,0.32455147925799926,31.0,0.22849462365591397
14,14,Bullis14,60290327,15234384,17-29-09,14-06-11,4220,-1,42.2,60.48387833333334,15.39064,0.35883086754157806,30.0,0.016666666666666708
15,15,Bullis14,60288130,15234584,17-29-39,14-06-11,5190,-1,51.9,60.480216666666664,15.390973333333333,0.4075680867158345,30.0,0.08981481481481478
16,16,Bullis14,60285748,15235508,17-30-09,14-06-11,5050,-1,50.5,60.47624666666667,15.392513333333333,0.4494358132596061,30.0,-0.01296296296296295
17,17,Bullis14,60283682,15236420,17-30-39,14-06-11,4480,-1,44.8,60.47280333333333,15.394033333333333,0.3918363627678507,30.0,-0.052777777777777805
18,18,Bullis14,60282218,15236344,17-31-09,14-06-11,2140,-1,21.4,60.47036333333333,15.393906666666666,0.27140440965235574,30.0,-0.21666666666666665
19,19,Bullis14,60281791,15235396,17-31-39,14-06-11,1660,-1,16.6,60.469651666666664,15.392326666666667,0.1173050827195728,30.0,-0.04444444444444442
20,20,Bullis14,60281586,15231624,17-32-09,14-06-11,5060,-1,50.6,60.46931,15.38604,0.34663870422225634,30.0,0.3148148148148148
21,21,Bullis14,60279975,15227895,17-32-39,14-06-11,5790,-1,57.9,60.466625,15.379825,0.4529588606850236,30.0,0.06759259259259257
22,22,Bullis14,60277740,15225699,17-33-09,14-06-11,5590,-1,55.9,60.4629,15.376165,0.46022970687829134,30.0,-0.01851851851851852
23,23,Bullis14,60277504,15220494,17-33-39,14-06-11,5640,-1,56.4,60.46250666666667,15.36749,0.47755307662681445,30.0,0.00462962962962963
24,24,Bullis14,60278257,15216135,17-34-09,14-06-11,5670,-1,56.7,60.46376166666667,15.360225,0.42198944526264714,30.0,0.0027777777777778173
25,25,Bullis14,60282805,15219686,04-59-47,15-06-11,20,-1,0.2,60.47134166666667,15.366143333333333,0.9031239997596722,41138.0,-0.00038150723040605877
26,26,Bullis14,60282833,15217811,05-00-53,15-06-11,3750,-1,37.5,60.47138833333333,15.363018333333333,0.17133910342109704,66.0,0.15698653198653198
27,27,Bullis14,60281456,15215764,05-01-28,15-06-11,2290,-1,22.9,60.46909333333333,15.359606666666666,0.31635998914609753,35.0,-0.11587301587301589
28,28,Bullis14,60277551,15220221,05-02-36,15-06-11,2380,-1,23.8,60.462585,15.367035,0.8303718595970846,68.0,0.003676470588235303
29,29,Bullis14,60279171,15220165,05-03-09,15-06-11,3390,-1,33.9,60.465285,15.366941666666667,0.3002698909030954,33.0,0.08501683501683499
30,30,Bullis14,60280039,15220805,05-03-39,15-06-11,2870,-1,28.7,60.46673166666667,15.368008333333334,0.17115759021157415,30.0,-0.04814814814814814
31,31,Bullis14,60279558,15220958,06-38-32,15-06-11,2420,-1,24.2,60.46593,15.368263333333333,0.09023038606878188,5693.0,-0.00021956789039170911
32,32,Bullis14,60278621,15220083,06-39-02,15-06-11,4140,-1,41.4,60.46436833333333,15.366805,0.19116490802104005,30.0,0.15925925925925927
33,33,Bullis14,60277466,15220546,06-39-32,15-06-11,2420,-1,24.2,60.46244333333333,15.367576666666666,0.2181898665911783,30.0,-0.15925925925925927
34,34,Bullis14,60277679,15225441,06-40-02,15-06-11,6100,-1,61.0,60.46279833333333,15.375735,0.44896326989176905,30.0,0.34074074074074073
35,35,Bullis14,60279882,15227990,06-40-32,15-06-11,6080,-1,60.8,60.46647,15.379983333333334,0.47001487403090814,30.0,-0.0018518518518518782
