TP_ID,TRAIL_ID,USER_ID,Y_COORDINA,X_COORDINA,TIME,DATE,SPEED,HEIGHT,SPEED(KM/H),Y_WGS84,X_WGS84,Distance_km,Time_Diff_s,Acceleration_mps2
1,1,Bullis1,60292653,15246578,12-15-33,09-06-11,50,-1,0.5,60.487755,15.410963333333333,0.0,0.0,0.0
2,2,Bullis1,60292797,15247460,12-18-25,09-06-11,2170,-1,21.7,60.487995,15.412433333333333,0.08482716442669876,172.0,0.03423772609819121
3,3,Bullis1,60292668,15248432,12-18-55,09-06-11,2950,-1,29.5,60.48778,15.414053333333333,0.09190028002678975,30.0,0.07222222222222223
4,4,Bullis1,60293713,15251138,12-19-30,09-06-11,4460,-1,44.6,60.48952166666667,15.418563333333333,0.31389568981726684,35.0,0.11984126984126985
5,5,Bullis1,60294654,15253287,12-20-00,09-06-11,3779,-1,37.79,60.49109,15.422145,0.26248026767643384,30.0,-0.06305555555555557
6,6,Bullis1,60295519,15255628,12-20-30,09-06-11,2740,-1,27.4,60.492531666666665,15.426046666666666,0.2671353989822446,30.0,-0.09620370370370371
7,7,Bullis1,60296473,15257831,12-21-00,09-06-11,1200,-1,12.0,60.494121666666665,15.429718333333334,0.26775509411026355,30.0,-0.14259259259259258
8,8,Bullis1,60296600,15258735,12-22-01,09-06-11,1070,-1,10.7,60.49433333333333,15.431225,0.08580339708628852,61.0,-0.005919854280510022
9,9,Bullis1,60297383,15259483,12-22-31,09-06-11,3279,-1,32.79,60.49563833333333,15.432471666666666,0.1603676082458076,30.0,0.20453703703703704
10,10,Bullis1,60297150,15264344,12-23-01,09-06-11,5960,-1,59.6,60.49525,15.440573333333333,0.4457654720591406,30.0,0.24824074074074076
11,11,Bullis1,60297752,15269448,12-23-31,09-06-11,5670,-1,56.7,60.496253333333335,15.44908,0.4790168338244774,30.0,-0.02685185185185184
12,12,Bullis1,60299064,15273798,12-24-01,09-06-11,4740,-1,47.4,60.49844,15.45633,0.46554705404013885,30.0,-0.08611111111111115
13,13,Bullis1,60298984,15277811,12-24-31,09-06-11,4100,-1,41.0,60.498306666666664,15.463018333333334,0.3665380482102308,30.0,-0.05925925925925924
14,14,Bullis1,60299943,15278794,12-25-01,09-06-11,4270,-1,42.7,60.499905,15.464656666666666,0.19908417603496983,30.0,0.015740740740740767
